sepal length	sepal width	petal length	petal width	iris	Tree	kNN	Tree (Iris-setosa)	Tree (Iris-versicolor)	Tree (Iris-virginica)	kNN (Iris-setosa)	kNN (Iris-versicolor)	kNN (Iris-virginica)	Fold
5.8	2.7	4.1	1.0	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	2
5.6	2.8	4.9	2.0	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.043478260869565216	0.9565217391304348	0.0	0.0	1.0	2
5.1	3.8	1.5	0.3	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	2
5.0	3.4	1.5	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	2
6.7	3.3	5.7	2.5	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.0	1.0	3
5.5	2.6	4.4	1.2	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9761904761904762	0.023809523809523808	0.0	1.0	0.0	3
5.0	3.4	1.5	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	3
4.6	3.2	1.4	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	3
6.5	3.0	5.8	2.2	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.0	1.0	3
5.1	3.8	1.9	0.4	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	3
6.1	2.9	4.7	1.4	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9761904761904762	0.023809523809523808	0.0	0.8	0.2	3
5.1	2.5	3.0	1.1	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9761904761904762	0.023809523809523808	0.0	1.0	0.0	3
5.6	2.7	4.2	1.3	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9574468085106383	0.0425531914893617	0.0	1.0	0.0	4
6.6	3.0	4.4	1.4	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9574468085106383	0.0425531914893617	0.0	1.0	0.0	4
5.7	2.5	5.0	2.0	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.2	0.8	4
4.9	2.4	3.3	1.0	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9574468085106383	0.0425531914893617	0.0	1.0	0.0	4
5.0	3.3	1.4	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	4
5.0	3.2	1.2	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	4
5.1	3.8	1.6	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	4
6.8	3.2	5.9	2.3	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.0	1.0	4
6.7	3.3	5.7	2.5	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.0	1.0	0.0	0.0	1.0	5
6.3	2.8	5.1	1.5	Iris-virginica	Iris-versicolor	Iris-virginica	0.0	0.9591836734693877	0.04081632653061224	0.0	0.4	0.6	5
7.7	2.8	6.7	2.0	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.0	1.0	0.0	0.0	1.0	5
6.3	2.5	4.9	1.5	Iris-versicolor	Iris-versicolor	Iris-virginica	0.0	0.9591836734693877	0.04081632653061224	0.0	0.2	0.8	5
5.2	3.5	1.5	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	5
5.8	2.7	3.9	1.2	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9591836734693877	0.04081632653061224	0.0	1.0	0.0	5
5.9	3.2	4.8	1.8	Iris-versicolor	Iris-virginica	Iris-virginica	0.0	0.0	1.0	0.0	0.4	0.6	5
5.3	3.7	1.5	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	5
4.6	3.2	1.4	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	6
5.1	3.5	1.4	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	6
6.3	2.8	5.1	1.5	Iris-virginica	Iris-versicolor	Iris-virginica	0.0	0.9591836734693877	0.04081632653061224	0.0	0.4	0.6	6
5.4	3.0	4.5	1.5	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9591836734693877	0.04081632653061224	0.0	1.0	0.0	6
6.9	3.1	5.4	2.1	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.0	1.0	6
5.9	3.0	5.1	1.8	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.2	0.8	6
4.8	3.0	1.4	0.3	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	6
5.8	2.7	4.1	1.0	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9591836734693877	0.04081632653061224	0.0	1.0	0.0	6
5.2	4.1	1.5	0.1	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	7
6.7	3.3	5.7	2.5	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.023255813953488372	0.9767441860465116	0.0	0.0	1.0	7
6.4	2.7	5.3	1.9	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.023255813953488372	0.9767441860465116	0.0	0.0	1.0	7
4.9	3.0	1.4	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	7
5.9	3.0	4.2	1.5	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9767441860465116	0.023255813953488372	0.0	1.0	0.0	7
6.0	2.2	4.0	1.0	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9767441860465116	0.023255813953488372	0.0	1.0	0.0	7
6.3	2.5	4.9	1.5	Iris-versicolor	Iris-virginica	Iris-virginica	0.0	0.0	1.0	0.0	0.2	0.8	7
7.1	3.0	5.9	2.1	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.023255813953488372	0.9767441860465116	0.0	0.0	1.0	7
5.6	2.8	4.9	2.0	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.0	1.0	0.0	0.0	1.0	8
5.5	2.3	4.0	1.3	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	8
6.9	3.2	5.7	2.3	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.0	1.0	0.0	0.0	1.0	8
4.9	3.1	1.5	0.1	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	8
5.3	3.7	1.5	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	8
5.6	2.9	3.6	1.3	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	8
5.0	3.5	1.6	0.6	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	8
5.0	2.0	3.5	1.0	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	1.0	0.0	0.0	1.0	0.0	8
5.9	3.0	5.1	1.8	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.023255813953488372	0.9767441860465116	0.0	0.2	0.8	9
5.5	2.4	3.8	1.1	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9574468085106383	0.0425531914893617	0.0	1.0	0.0	9
5.1	3.8	1.5	0.3	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	9
6.7	3.3	5.7	2.5	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.023255813953488372	0.9767441860465116	0.0	0.0	1.0	9
6.9	3.2	5.7	2.3	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.023255813953488372	0.9767441860465116	0.0	0.0	1.0	9
4.3	3.0	1.1	0.1	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	9
6.6	2.9	4.6	1.3	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9574468085106383	0.0425531914893617	0.0	1.0	0.0	9
5.6	2.9	3.6	1.3	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9574468085106383	0.0425531914893617	0.0	1.0	0.0	9
4.4	3.0	1.3	0.2	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	10
6.2	3.4	5.4	2.3	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.0	1.0	10
4.8	3.0	1.4	0.3	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	10
6.7	3.1	4.7	1.5	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9777777777777777	0.022222222222222223	0.0	1.0	0.0	10
5.8	2.7	5.1	1.9	Iris-virginica	Iris-virginica	Iris-virginica	0.0	0.022727272727272728	0.9772727272727273	0.0	0.2	0.8	10
6.7	3.1	4.4	1.4	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9777777777777777	0.022222222222222223	0.0	1.0	0.0	10
5.0	3.4	1.6	0.4	Iris-setosa	Iris-setosa	Iris-setosa	1.0	0.0	0.0	1.0	0.0	0.0	10
5.5	2.3	4.0	1.3	Iris-versicolor	Iris-versicolor	Iris-versicolor	0.0	0.9777777777777777	0.022222222222222223	0.0	1.0	0.0	10
